USER_ID;OSM_ID;RATING
101-S3J;561524250;5
101-S3J;277746978;3
101-S3J;4985409623;2
101-S3J;548920489;4
101-S3J;4868065118;5
101-S3J;380488748;4
101-S3J;2795232150;3
101-S3J;4095987428;2
102-S3J;49023482;4
102-S3J;65619602;5
102-S3J;561524250;4
102-S3J;2795232150;4
102-S3J;4095400186;4
102-S3J;247766478;5
102-S3J;4868065118;4
102-S3J;9655661536;5
102-S3J;277746978;3
102-S3J;4985409623;3
103-S3J;9655661536;4
103-S3J;4095400186;5
103-S3J;4456693170;3
103-S3J;2451643514;4
103-S3J;6504247617;5
103-S3J;4358977790;3
103-S3J;247766478;4
103-S3J;2451643514;5
103-S3J;39666027;3
103-S3J;359690720;2
103-S3J;49023482;4
103-S3J;4985409623;3
104-S3J;270908998;4
104-S3J;247766478;3
104-S3J;353186982;1
104-S3J;359686907;3
104-S3J;369825427;4
104-S3J;472774192;3
104-S3J;564888514;3
104-S3J;2424718821;1
104-S3J;2486983218;3
104-S3J;4095400186;3
104-S3J;4095987426;3
104-S3J;4109460415;4
104-S3J;6223030513;3
104-S3J;4095400191;3
105-S3J;247766478;4
105-S3J;270908998;4
105-S3J;369825427;5
105-S3J;2424718821;1
105-S3J;4095400186;4
105-S3J;4095987426;3
105-S3J;4095987428;3
105-S3J;4109460415;5
105-S3J;6223030513;3
105-S3J;8519878955;1
105-S3J;564888543;3
106-S3J;247766478;5
106-S3J;270908998;4
106-S3J;353186982;3
106-S3J;472774192;4
106-S3J;4095987426;4
106-S3J;282655574;4
107-S3J;4095987422;5
107-S3J;359686907;3
107-S3J;471628000;3
107-S3J;854335396;3
107-S3J;3483494147;3
107-S3J;96565538;4
107-S3J;359692073;4
108-S3J;359686907;3
108-S3J;359700824;3
108-S3J;472774192;4
108-S3J;561504426;3
108-S3J;564669032;4
108-S3J;731833436;3
108-S3J;2649686873;4
108-S3J;4143671996;3
108-S3J;5770385050;4
109-S3J;359690395;4
109-S3J;412729253;4
109-S3J;548920489;3
109-S3J;2570468652;4
109-S3J;4095400186;3
109-S3J;4095987422;5
109-S3J;4095987435;4
109-S3J;300428220;3
109-S3J;412760190;3
110-S3J;246249861;4
110-S3J;256866280;5
110-S3J;359687037;4
110-S3J;632149361;3
110-S3J;854335396;2
110-S3J;2424723261;3
110-S3J;4095987422;5
111-S3J;382989332;3
111-S3J;548920700;3
111-S3J;4395329792;3
111-S3J;9655661535;5
111-S3J;380094845;4
111-S3J;359694784;3
111-S3J;560156308;4
111-S3J;4952008723;4
111-S3J;2466736061;3
112-S3J;247766478;3
112-S3J;270908998;4
112-S3J;359690720;4
112-S3J;471628001;4
112-S3J;2451608588;4
112-S3J;4095400151;3
112-S3J;4095400186;3
112-S3J;4095987422;4
112-S3J;4109460415;4
112-S3J;5144542839;3
114-S3J;246249861;2
115-S3J;246249861;3
116-S3J;246249861;3
113-S3J;246249861;3
114-S3J;247766478;1
115-S3J;247766478;2
116-S3J;247766478;2
113-S3J;247766478;2
114-S3J;282655574;3
115-S3J;282655574;3
116-S3J;282655574;4
113-S3J;282655574;3
114-S3J;380488748;5
115-S3J;380488748;4
116-S3J;380488748;4
113-S3J;380488748;4
114-S3J;472774192;3
115-S3J;472774192;3
116-S3J;472774192;3
113-S3J;472774192;3
114-S3J;6223030513;5
115-S3J;6223030513;5
116-S3J;6223030513;5
113-S3J;6223030513;5
114-S3J;4358977790;3
115-S3J;4358977790;1
116-S3J;4358977790;1
113-S3J;4358977790;2
114-S3J;3124969719;3
115-S3J;3124969719;3
116-S3J;3124969719;3
113-S3J;3124969719;2
114-S3J;534917835;3
115-S3J;534917835;4
116-S3J;534917835;4
113-S3J;534917835;5
114-S3J;2466736061;3
115-S3J;2466736061;2
116-S3J;2466736061;4
113-S3J;2466736061;3
1-Team Rick;8199027204;5
1-Team Rick;353186982;3
1-Team Rick;4816412578;5
1-Team Rick;5320192449;4
1-Team Rick;359687037;4
1-Team Rick;41031881;5
1-Team Rick;43011471;2
1-Team Rick;6223030513;4
1-Team Rick;854335396;2
1-Team Rick;2457539648;4
2-Team Rick;353186982;4
2-Team Rick;380094845;5
2-Team Rick;7439496294;3
2-Team Rick;359687037;4
2-Team Rick;4358977790;5
2-Team Rick;9581108183;4
2-Team Rick;6223030513;5
2-Team Rick;854335396;4
2-Team Rick;2457539648;5
2-Team Rick;2795251539;4
3-Team Rick;353186982;5
3-Team Rick;380094845;3
3-Team Rick;39666027;4
3-Team Rick;7439496294;3
3-Team Rick;2466736061;3
3-Team Rick;359687037;5
3-Team Rick;4358977790;5
3-Team Rick;9581108183;3
3-Team Rick;6223030513;5
3-Team Rick;2795251539;4
4-Team Rick;8199027204;5
4-Team Rick;353186982;4
4-Team Rick;380094845;5
4-Team Rick;39666027;4
4-Team Rick;7439496294;2
4-Team Rick;2466736061;3
4-Team Rick;359687037;4
4-Team Rick;4358977790;5
4-Team Rick;9581108183;4
4-Team Rick;43011471;2
5-Team Rick;34039212;3
5-Team Rick;247766478;5
5-Team Rick;256866280;5
5-Team Rick;282655574;3
5-Team Rick;353186982;3
5-Team Rick;359686907;4
5-Team Rick;359691092;4
5-Team Rick;359695274;2
5-Team Rick;471628000;4
5-Team Rick;472774192;1
5-Team Rick;574685031;3
5-Team Rick;731833436;3
5-Team Rick;1519474203;4
5-Team Rick;3483494147;3
5-Team Rick;4127859153;3
5-Team Rick;4395329573;2
5-Team Rick;4417689793;3
5-Team Rick;4456693165;3
5-Team Rick;4985409623;3
5-Team Rick;5770385050;1
5-Team Rick;5770385052;1
5-Team Rick;6223030513;3
5-Team Rick;7439496294;3
5-Team Rick;8128785390;3
5-Team Rick;8550952236;4
5-Team Rick;9651267228;3
5-Team Rick;380094845;3
6-Team Rick;256866280;5
6-Team Rick;359685942;3
6-Team Rick;359691092;3
6-Team Rick;359691979;4
6-Team Rick;359692293;4
6-Team Rick;359700824;3
6-Team Rick;534878149;4
6-Team Rick;731833436;4
6-Team Rick;2493971952;4
6-Team Rick;6223030513;5
7-Team Rick;282655581;5
7-Team Rick;359686638;5
7-Team Rick;359691979;4
7-Team Rick;472774192;5
7-Team Rick;560157037;5
7-Team Rick;763523652;4
7-Team Rick;1488980360;4
7-Team Rick;4095987424;5
7-Team Rick;4125136764;4
7-Team Rick;6223030513;5
8-Team Rick;246249861;3
8-Team Rick;307364223;3
8-Team Rick;353186982;3
8-Team Rick;359683717;4
8-Team Rick;359686638;4
8-Team Rick;359686907;3
8-Team Rick;471628000;3
8-Team Rick;560156308;4
8-Team Rick;854335396;2
8-Team Rick;1519474203;3
8-Team Rick;2795232150;3
8-Team Rick;3483494147;3
8-Team Rick;4095400151;3
8-Team Rick;4095400186;3
8-Team Rick;4095987428;4
8-Team Rick;4127859153;3
8-Team Rick;4358977790;3
8-Team Rick;4417689793;3
8-Team Rick;4985409623;3
8-Team Rick;9651267228;3
8-Team Rick;9655661531;2
8-Team Rick;9655661535;5
8-Team Rick;9655661536;4
8-Team Rick;39666027;3
8-Team Rick;380094845;3
9-Team Rick;9651267228;3
9-Team Rick;359686907;3
9-Team Rick;359687037;4
9-Team Rick;498891528;5
9-Team Rick;593846241;4
9-Team Rick;3483494147;2
9-Team Rick;9655661531;4
9-Team Rick;1519474203;3
9-Team Rick;4417689793;2
9-Team Rick;4143671996;3
10-Team Rick;359691092;5
10-Team Rick;498891528;5
10-Team Rick;648047492;4
10-Team Rick;9651267228;2
10-Team Rick;2424724937;5
10-Team Rick;1519474203;3
10-Team Rick;2795232150;4
10-Team Rick;4095987428;4
10-Team Rick;4127859153;3
10-Team Rick;4456693165;4
11-Team Rick;246249861;2
11-Team Rick;353186982;5
11-Team Rick;359686907;3
11-Team Rick;359687037;5
11-Team Rick;498891528;5
11-Team Rick;593846241;4
11-Team Rick;2466736061;5
11-Team Rick;3483494147;2
11-Team Rick;4417689793;4
11-Team Rick;4985409623;5
12-Team Rick;247766478;5
12-Team Rick;246249861;4
12-Team Rick;471628000;4
12-Team Rick;4095400186;5
12-Team Rick;703057906;4
12-Team Rick;564888514;5
12-Team Rick;282655574;4
12-Team Rick;7503079102;3
12-Team Rick;1479407508;5
13-Team Rick;359686907;4
